Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Does a violin have four strings?,Yes,easy,easy
What is the official language of North Korea?,Korean,medium,medium
How long was Kuala Lumpur occupied by the Japanese?,42 months,hard,hard
Did Woodrow Wilson create the League of Nations?,yes,easy,easy
Is uruguay's landscape mountainous?,not really?,hard,hard
Does every drumhead make the same sound?,no,hard,easy
What is along the city's western border?,Taipei has the Danshui River along its western border.,medium,medium
Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. ,The Leningrad Philharmonic Orchestra,,medium
Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,easy,easy
Is the the biggest university in Jakarta the University of Indonesia,yes,easy,easy
Where are lobsters found?,In all oceans,medium,medium
Is a drake a male?,yes,easy,easy
Approximately how many species of Testudines are alive today?,300,medium,medium
Are lobsters invertebrates?,Yes,easy,easy
Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. ,medium,medium
Are the several dialects of Kagoshima famous to speakers?,yes,,medium
Did Henri Becquerel intentionally discover radioactivity?,No,hard,hard
Does the native pronunciation of Qatar sound like 'cutter'?,no,hard,hard
&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Chinese,hard,hard
Have there been other US presidents that have visited Cuba?,no,hard,medium
Does a  tz indicate that the preceding vowel is short?,no,,easy
Does San Francisco have a high percentage of gay and lesbian individuals?,Yes,easy,easy
How many townships are in Ottawa?,eleven,medium,medium
Is Antwerp a city?,Yes,easy,easy
What religion did Isaac Newton follow?,unorthodox Christian,hard,medium
What notable people have been named Santiago?,"Benito Santiago, Hugo Santiago, Joey Santiago, Liliana Santiago, Rafael Santiago Maria, Santiago Caballero, Santiago Cabrera; James, son of Zebedee",hard,hard
Did Theodore Roosevelt study Judo?,No clue,easy,easy
"As a boy, did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china?",yes,,easy
Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes,,easy
Has Singapore a network of reservoirs and water catchment areas ?,Yes,,easy
Who was the eldest sibling?,Gilberte,hard,hard
Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids.",,easy
Who is the head of state of Ghana?,President John Agyekum Kofuor,medium,easy
Is the Giant Panda a terrestrial animal?,Yes,easy,easy
"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species.",easy,easy
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.",hard,hard
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.,hard,hard
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time,hard,hard
Can an elephant kill a rhinoceros?,yes,easy,easy
Is it possible to alter the word order to stress the importance of a certain phrase?,Yes.,easy,easy
What does it sound like to play cymbals with a cello bow?,squealing car brakes,medium,medium
Is the black color heritable and caused by only one recessive gene locus ?,Yes,,easy
Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.,medium,medium
Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.,easy,hard
Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers,medium,easy
Who did Newton see as the master creator?,Newton saw God as the master creator whose existence could not be denied in the face of the grandeur of all creation,medium,easy
Have larger kangaroos adapted much better to changes?,yes,,easy
Where do sea otters live?,The sea otter lives actually in the sea. ,medium,medium
What is largest polar bear on record?,2200 lb,medium,medium
Is the leopard of the Felidae family?,yes,easy,easy
Was Adams raised Congregationalist?,yes,easy,easy
How is South China linguistically different from North China?,South China displays more linguistic diversity,hard,hard
What is the national currency of Liechtenstein?,Swiss franc,medium,medium
What do leptocephali eat?,Leptocephali eat small particles called marine snow.,hard,hard
Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes,,easy
What is the point called that is bolted or glued to the body of the guitar?,Neck joint or 'Heel',hard,hard
Where were immigrants from in the 1800s?,Ireland,hard,hard
When was the Principia published?,1687,medium,medium
Do the different species of zebras interbreed?,No,easy,easy
Did Faraday discover diamagnetism?,yes,hard,easy
Did Newton reject the church's doctrine of the Trinity?,Newton may have rejected the church's doctrine of the Trinity.,easy,hard
Are giraffes hunted for their hides?,Yes,easy,easy
What happened in the election of 1816?,Monroe was elected president,,easy
What is the most basic form of the flute?,Open tube which is blown like a bottle,hard,hard
Did he build the first practical reflecting telescope?,yes,easy,easy
When were his papers donated by Lee Krasner?,In 1983.,,medium
What has the most effect on how a drum sounds?,the drumhead,medium,medium
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,hard,medium
Is the Giant Panda a carnivore?,Yes,hard,easy
How many species of zebra are there?,three,medium,medium
"Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",Yes,,easy
Does a trumpet have a mellower tone than a cornet?,No,hard,hard
Where is the violincello held?,The violincello is held on the shoulder.,hard,hard
Were trumpet players heavily guarded?,yes,easy,easy
Where was James Monroe born?,"Westmoreland County, Virginia",medium,medium
What was Grant's political affiliation?,Republican,medium,hard
Is it true that he shared the nobel prize in physics?,yes,,easy
Is there an airport in Liechtenstein?,No,easy,easy
Whare is the name for drums that have a S10_set of wires held across some of all of the drum heads?,snares,hard,medium
Are a wolf's teeth its main weapons?,Yes,easy,easy
Has the design of drums changed recently?,no,hard,easy
Is the xylophone a musical instrument?,yes,easy,easy
Is Arabic the largest member of the Semitic language family?,yes,easy,easy
Is it true that he published a collection in 1738?,No,,easy
What was Ottawa's name in 1850?,Bytown,hard,hard
"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",Yes,,easy
Does english grammar have minimal inflection?,Yes,,easy
The trumpet can be confused with what close relative?,the cornet,medium,medium
did he discover benzene?,Yes,easy,easy
Is the violin supported by the left shoulder?,Yes,easy,easy
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,mixing of the races on social occassions,hard,hard
How many domestic tourists visit Melbourne?,7.6 million domestic visitors,hard,medium
What happened in 1745?,The scale was reversed,,medium
Do penguins live almost exclusively in the Southern Hemisphere?,yes,easy,easy
Where is Qatar's telecommunication system centered?,Doha,medium,medium
About how many Koreans speakers are there?,78 million Korean speakers,medium,medium
Who was Pascal's younger sister?,Jacqueline.,medium,medium
Is Jakarta a city,yes,easy,easy
Did the Moche people worship lobsters?,Yes,hard,easy
Becquerel wrapped a fluorescent substance in what?,photographic plates and black material,,medium
Was education another area  of service  for Faraday?,yes,,easy
Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.,hard,hard
Is a leopard larger and less lanky than a cheetah?,yes,easy,easy
Do nearly all Qataris profess Islam?,yes,easy,easy
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,hard,medium
When did he publish a collection?,1733,,easy
Were the treaties signed in 1947 and 1948 with the Ukraine?,No,easy,easy
What order do penguins belong to?,Sphenisciformes,medium,medium
What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,hard,medium
What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,hard,medium
Are cougars larger than jaguars?,Cougars are not larger than jaguars.,easy,hard
Is the cello a stringed instrument?,yes,easy,easy
Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family.",easy,easy
Is Santiago a name in Spanish?,Yes,easy,medium
Is the Trumpeter Swan the largest bird?,The Trumpeter Swan is the largest bird of North America,easy,medium
Where was Celsius born?,Uppsala in Sweden,medium,medium
Is the Giant Panda a terrestrial animal?,yes,easy,easy
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,,easy
Is it true that singapore has several long - standing disputes with malaysia?,Yes,,easy
Did continental European immigrants not S08_settle the prairies ?,no,,easy
Why are sea otters nearly extinct?,They've been hunted for their fur,hard,hard
Where do leopards often hide their kills?,in dense vegetation,medium,medium
How heavy is a male polar bear?,Most adult males weigh 350-650 kg,medium,hard
"(where French has a similar phenomenon, with alveolar affricates instead of postalveolars?",Quebec.,,medium
What does the word duck mean?,to bend down low as if to get under something,hard,hard
Did the scientific community not reserve great attention to his theory ?,yes,,easy
When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.,medium,medium
Was John Calvin Coolidge Jr. was born in Las Vegas?,no,easy,easy
